고객번호,보증번호,신용점수,신용등급,신용대출금액,연간환산매출액,월기준업력,자산가액,사업장 임차보증금,거주지 임차보증금,사업장 부동산금액,거주시 부동산금액,부실징후1대출합,보증금액,업종,노동자수,보증일자
670329,l110000000000,969,1,98,111,30,342,2,340,0,0,0,50000000,"M 전문, 과학 및 기술 서비스업 (70 ~ 73)",0,20200815
671950,l260000000000,919,2,0,16,268,0,0,0,0,0,0,20000000,C 제조업 (10 ~ 34),0,20200815
672224,l220000000000,765,5,22,18,6,0,0,0,0,0,15,10000000,H 운수업 (49~52),0,20200815
390630,l230000000000,959,1,132,233,63,5,5,0,0,0,0,25000000,"M 전문, 과학 및 기술 서비스업 (70 ~ 73)",0,20200815
523263,l390000000000,995,1,20,28,74,30,30,0,0,0,0,15000000,P 교육 서비스업(85),0,20200815
667910,l220000000000,945,1,12,37,106,35,35,0,0,0,0,42500000,"S협회및단체,수리및기타개인서비스업(94~96)",0,20200815
669199,l220000000000,791,4,8,0,5,0,0,0,0,0,0,15000000,G 도매 및 소매업 (45~47),0,20200815
669199,l220000000000,791,4,8,0,5,0,0,0,0,0,0,15000000,G 도매 및 소매업 (45~47),0,20200815
669785,l180000000000,766,5,9,197,27,8,8,0,0,0,0,20000000,C 제조업 (10 ~ 34),0,20200815
670500,l190000000000,896,2,101,0,4,83,0,0,0,83,0,20000000,H 운수업 (49~52),0,20200815
670575,l350000000000,969,1,164,72,106,4797,0,0,4797,0,0,30000000,"R 예술, 스포츠 및 여가관련 서비스업(90~91)",0,20200815
670683,l120000000000,861,3,0,10,8,5,0,5,0,0,0,20000000,J정보통신업(58~63),0,20200815
671104,l290000000000,949,1,14,42,40,0,0,0,0,0,0,30000000,J정보통신업(58~63),0,20200815
671403,l260000000000,861,3,5,570,7,30,30,0,0,0,0,25000000,H 운수업 (49~52),0,20200815
671448,l160000000000,859,3,15,3,8,5,5,0,0,0,0,20000000,F 건설업 (41 ~ 42),0,20200815
671741,l180000000000,969,1,0,26,101,0,0,0,0,0,0,30000000,H 운수업 (49~52),0,20200815
272084,l350000000000,896,2,50,45,129,0,0,0,0,0,0,40000000,C 제조업 (10 ~ 34),2,20200815
